MRCAT_XAFS V0.3 Datafile
"femag.001" created at APS Sector 10-ID on Sat Jun  9 09:54:35 2001
Ring energy= 7.00 GeV
E0= 7100.00
NUM_REGIONS= 1
SRB= 6900
SRSS= 1
SPP= 0.4
Settling time= 0

***** DATA : LN( I0/IT )    REFERENCE : LN( IT/IRef ) *****

Offsets= 0.00 11495.56 11977.89 306.44 11092.78 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 
Gains= 8.00 6.00 7.00 9.00 7.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00
Fe K-edge 
Fe3O4 thin film
 
------------------------------------------------------------------------------------------------
   energy joerger_timer       Io       It       If     Iref 
 7343.8228  12889955 32322.5 90057.5 33417.5 50732.5
 7345.1528  12890428 32665 91092.5 33742.5 50770
 7346.5062  12890072 32705 91292.5 33742.5 50562.5
 7347.7913  15468288 39155 109400 40360 60290
 7349.0998  12891460 32612.5 91207.5 33585 50110
 7350.4317  12889022 32330 90472.5 33305 49802.5
 7351.7642  12891452 32212.5 90210 33185 49490
 7353.1201  12888910 31830 89212.5 32775 48962.5
 7354.4536  12890800 31517.5 88385 32497.5 48687.5
 7355.7875  12889552 32052.5 89945 33030 48887.5
 7357.099   15468715 38585 108380 39757.5 58635
 7358.4109  12890782 32247.5 90622.5 33287.5 48857.5
 7359.7233  12889608 32465 91295 33520 48985
 7361.0823  12889690 32300 90885 33385 48847.5
 7362.4418  12891018 32557.5 91650 33700 48942.5
 7363.7558  12889542 32302.5 90975 33487.5 48790
 7365.1163  12891245 32602.5 91862.5 33840 48985
 7366.4081  15467085 39075 110157.5 40622.5 58857.5
 7367.7235  12890588 32100 90545 33415 48925
 7369.0625  12889788 32195 90872.5 33570 49035
 7370.4251  12890775 32305 91240 33665 49220
 7371.7651  12889662 32172.5 90937.5 33585 49415
 7373.1056  12890892 32177.5 91017.5 33592.5 49687.5
 7374.4466  12889565 32220 91205 33622.5 49932.5
 7375.7881  12890930 32242.5 91352.5 33657.5 50302.5
 7377.0838  15467568 38982.5 110525 40640 61055
 7378.4263  12889998 31997.5 90805 33365 50840
 7379.7693  12890328 31920 90645 33302.5 50925
 7381.1128  12890185 31967.5 90827.5 33347.5 50985
 7382.4801  12890388 31952.5 90865 33342.5 51017.5
 7383.755   12890332 32035 91150 33460 51202.5
 7385.1001  12890055 32450 92372.5 33915 51485
 7386.4224  15468272 38842.5 110675 40612.5 61535
 7387.7684  12889972 31950 91077.5 33452.5 50842.5
 7389.0918  12890370 32062.5 91435 33592.5 50930
 7390.4156  12890070 32495 92725 34077.5 51282.5
 7391.8096  12890515 32650 93227.5 34247.5 51370
 7393.1577  12889838 32877.5 93932.5 34510 51390
 7394.5063  12890442 32875 93997.5 34530 51397.5
 7395.8321  12890000 32767.5 93767.5 34437.5 51265
 7397.1585  15468402 39707.5 113702.5 41732.5 61830
 7398.4853  12890288 33162.5 95037.5 34827.5 51672.5
 7399.8359  12890058 33140 95055 34812.5 51570
 7401.2336  12890425 32917.5 94490 34585 51475
 7402.5853  12890010 33092.5 95057.5 34717.5 51520
 7403.9141  12891008 33025 94950 34625 51460
 7405.2435  12889385 32877.5 94597.5 34427.5 51510
 7406.5966  15468142 39160 112770 41010 61035
 7407.927   12890445 32157.5 92670 33722.5 50462.5
 7409.2812  12889970 32945 95022.5 34492.5 51397.5
 7410.6592  12890432 32777.5 94612.5 34310 51260
 7412.0378  12889958 32535 93992.5 33995 51142.5
 7413.3702  12890268 32712.5 94562.5 34177.5 51235
 7414.6797  12890168 32335 93560 33802.5 50875
 7416.0364  15468255 38537.5 111597.5 40267.5 61077.5
 7417.3937  12890550 31920 92510 33340 50845
 7418.7515  12889858 31707.5 91955 33072.5 50812.5
 7420.1098  12890572 31527.5 91495 32935 50630
 7421.4921  12889890 31852.5 92507.5 33285 51045
 7422.828   12890675 32732.5 95125 34137.5 51775
 7424.1409  12889688 32890 95655 34302.5 51990
 7425.5013  15468150 40270 117212.5 42012.5 62990
 7426.9091  12890452 33450 97450 34837.5 52477.5
 7428.294   12889880 32697.5 95330 34080 51822.5
 7429.6089  12890342 32037.5 93462.5 33490 51325
 7430.9714  12890295 32082.5 93667.5 33395 51392.5
 7432.3108  12890368 32057.5 93670 33447.5 51350
 7433.6508  12889762 32535 95112.5 33962.5 51695
 7435.0383  15468165 38972.5 114037.5 40620 61930
 7436.4263  12890550 32282.5 94517.5 33732.5 51435
 7437.8149  12890128 32972.5 96587.5 34422.5 51847.5
 7439.1098  12890280 33017.5 96790 34515 51832.5
